item_category,buy,cart,fav,pv
2,0,0,0,3
3,0,0,0,3
4,0,0,0,1
6,0,0,0,10
8,4,4,9,976
10,4,9,3,212
11,5,78,94,8818
12,5,14,8,194
13,6,2,6,99
15,4,4,37,682
16,18,51,11,508
18,1,2,0,32
19,0,0,0,25
21,2,8,3,146
23,0,0,0,2
24,8,16,12,1589
25,0,0,0,31
26,0,0,0,3
28,5,9,10,68
29,0,0,0,7
30,0,0,2,24
32,1,0,0,21
33,0,0,0,4
34,1,10,4,129
35,5,2,0,174
40,0,0,0,2
43,13,22,11,1102
46,2,2,4,116
47,10,48,31,925
53,0,1,1,14
54,0,0,0,2
56,20,27,51,2372
57,0,2,2,146
58,1,4,8,339
59,1,1,0,18
65,0,0,2,37
66,4,6,5,210
67,4,60,23,1134
68,1,2,0,16
69,0,0,0,6
72,2,3,0,47
73,1,0,0,36
75,0,4,0,16
77,2,22,7,513
78,0,2,0,30
80,3,3,1,106
81,0,0,2,39
82,0,0,2,78
83,1,3,0,52
84,0,0,0,1
85,4,38,34,1054
86,0,0,0,8
89,0,3,8,302
90,1,0,0,0
91,0,0,0,6
93,3,20,4,382
94,64,117,38,5576
96,0,0,1,13
97,2,6,0,72
98,0,1,0,58
100,0,3,1,87
101,1,0,0,3
102,1,6,2,65
105,0,1,0,8
107,62,157,146,7497
108,31,59,66,2893
109,0,0,0,15
110,67,70,25,1260
111,1,1,0,20
112,1,0,0,26
114,17,50,27,864
115,8,10,4,245
116,0,3,0,149
118,23,68,17,868
120,6,26,22,624
121,0,3,0,33
123,0,0,0,8
125,0,1,1,69
126,9,11,13,662
127,1,1,1,59
129,1,1,0,2
130,0,0,2,45
131,0,0,0,9
132,0,0,0,4
134,0,0,0,4
135,0,0,0,1
137,0,0,0,2
138,11,24,3,305
139,2,3,1,42
140,1,9,0,98
141,0,0,0,3
145,6,5,1,73
147,0,5,1,196
150,88,202,62,4884
151,0,0,0,5
155,11,57,21,1622
157,12,8,5,362
158,6,9,1,89
160,0,1,0,25
163,0,0,0,4
164,2,6,1,260
166,0,0,0,2
169,25,65,17,1678
170,1,3,1,79
171,0,1,2,55
172,3,6,1,95
174,0,0,1,14
176,2,3,6,439
178,0,0,0,8
184,0,0,0,4
186,0,0,0,1
189,0,0,0,82
192,12,29,3,228
194,1,0,0,23
197,0,0,0,2
198,68,401,324,9546
199,0,2,0,42
200,0,4,16,2669
201,2,7,0,58
202,1,0,1,55
204,0,0,0,3
205,36,50,2,683
206,1,2,0,27
208,0,7,3,111
209,0,0,0,6
214,0,0,0,22
215,42,142,150,6894
216,0,0,9,120
217,0,0,0,3
219,11,25,12,311
220,56,160,17,1816
223,0,0,0,7
227,0,0,0,12
230,0,0,0,2
231,124,215,167,7434
232,53,120,23,2625
233,5,1,8,314
234,0,5,2,114
235,0,0,0,12
237,0,0,0,2
239,0,2,0,34
240,8,13,14,396
242,131,488,422,15090
243,3,3,8,95
244,0,0,0,27
