item_category,total_interaction_count,unique_user_count,unique_item_count
1863,393247,5997,83354
13230,356773,5619,74067
5027,334280,5499,60323
5894,330207,5279,83758
6513,295768,5288,65045
5399,281739,5312,54559
11279,187056,4715,47538
2825,163626,4551,43997
5232,144200,4972,25900
10894,138782,4523,33482
4370,121728,4518,30437
5689,116029,4053,30631
3064,112805,1991,16562
6000,107606,4594,14204
14079,98190,3592,24376
10392,97029,3832,21316
5395,96878,2891,19020
6344,93059,4157,20401
3381,88586,4152,16590
9516,86683,2638,21648
11552,78214,3981,16386
6054,78048,3526,22318
3628,73705,3759,17103
5503,72765,3277,20152
11824,71109,3051,15438
1083,69782,3467,16484
8877,67689,2309,14425
5271,67523,2442,15137
10533,67119,3382,19266
3783,66274,3062,12521
6648,65046,2583,12181
552,63879,3392,15502
9517,61687,2282,14986
3673,57804,3211,13806
1838,55532,3165,8851
3472,55024,3075,12424
3424,54325,2478,14365
6255,52087,3131,12735
2513,51836,2505,12290
2993,51549,2839,11077
7957,47180,1929,13960
508,46608,2141,9463
11623,46020,3041,10457
9247,45027,2075,10044
9559,43875,2680,12494
1121,43752,2473,10295
10431,43203,1791,11813
4676,42816,2673,11410
2953,42324,2171,9382
7995,40812,1301,7828
8291,40238,2452,8996
1843,38070,2728,10558
12855,35183,2024,11067
6512,35164,1818,8657
4296,34739,1546,5984
10661,34603,1657,9441
2883,34402,2210,8747
3662,33544,2339,5922
11241,33458,995,7197
3252,33141,2091,9368
4269,32485,2185,7280
3099,31762,2518,6865
10049,31432,2384,8733
12488,30906,2314,6569
13041,30326,1294,7252
5653,28758,2512,8942
11406,28654,1557,8633
3660,28653,1755,5427
12630,28629,1085,5003
12090,28538,1783,3564
5388,28520,915,7216
2284,27841,1459,6849
3798,27839,2245,7899
7767,27767,2086,5493
8095,27263,2246,5677
9397,27228,2175,6698
9179,26639,1871,7110
7195,26420,1870,8105
6977,26410,716,7412
10223,26387,2108,7701
437,26242,2259,6879
9614,26119,1928,5209
9835,25390,2196,6380
11652,25388,2250,5821
13338,25017,1626,7430
1488,24973,1881,5906
7103,24936,1709,6850
874,24408,1403,3688
10984,24123,1557,5644
12067,24060,1561,3524
3544,23826,2003,6635
4264,23093,1252,5881
6209,22416,1158,4185
12328,22404,1445,5658
9261,22128,1409,4558
10961,21576,2158,4223
10314,21476,1711,6484
11537,21445,1776,4466
4830,20803,795,3902
7440,20600,1784,2963
13500,20126,1181,2698
4640,20057,1713,5320
10242,19934,1103,4664
989,19679,983,6046
5749,19527,1764,4920
5468,19449,919,3774
11991,19412,1023,3415
9541,19318,1831,3420
10523,18872,1499,3103
10901,18623,1327,5274
7549,18585,1589,3276
7876,18582,1083,3397
12863,18549,742,5190
5204,18545,1260,5621
3156,18518,1297,5875
8874,18487,1325,3047
292,18435,1422,3150
9412,18224,1472,4156
10703,17904,1557,4812
4245,17669,1179,4907
9363,17449,1381,2451
5867,16940,801,4799
3368,16797,959,2755
7312,16425,1461,3754
10567,16170,981,3925
242,16131,1320,2864
1421,16111,1250,4546
12189,15893,726,4512
8864,15853,1115,4912
10740,15780,642,4500
