user_id,buy,cart,fav,pv
4913,6,29,49,1658
6118,1,0,4,112
7528,6,24,1,183
7591,21,14,0,824
12645,8,10,2,248
45368,0,0,0,36
54056,2,0,2,34
63348,1,13,14,223
79824,13,0,0,650
88930,23,22,30,1529
90472,0,4,9,135
100539,18,60,1,1003
104155,4,4,14,374
109103,17,18,32,365
113251,5,14,1,359
113960,36,112,3,1858
114088,0,0,0,25
120873,3,22,99,1472
134658,2,4,0,252
151617,29,50,35,1855
156608,9,19,46,490
157097,15,15,0,1472
189833,26,83,263,3348
190327,7,77,1,611
191366,2,42,18,1128
213655,15,91,2,2654
217996,2,1,0,69
227293,8,80,2,871
230711,13,9,1,334
239485,8,0,1,253
247543,23,71,16,847
250843,28,36,44,2091
263670,1,3,1,599
287170,0,0,0,61
305685,0,0,8,126
337191,4,0,7,291
355287,4,47,0,936
365699,3,52,0,550
397142,4,1,27,1031
413178,5,11,2,1006
414388,15,26,0,411
418175,17,52,0,1116
429994,9,2,0,651
432337,6,20,13,858
450683,3,7,4,276
475826,110,221,92,6581
483640,14,20,3,472
493013,11,9,0,186
497764,12,123,104,3775
501286,15,31,1,999
511319,6,42,0,395
521437,24,20,7,466
565533,15,7,0,1049
567790,2,2,0,47
568881,1,4,56,357
595598,0,42,5,1665
608951,5,16,2,1904
611920,12,3,31,1596
632347,55,61,70,2288
678552,1,0,0,13
704891,26,47,31,1082
722361,0,0,0,8
742065,4,3,0,373
754205,38,85,0,937
764564,0,12,1,565
783072,0,0,0,47
790713,11,1,68,1289
801018,10,14,1,1161
807106,57,15,4,1350
814199,22,58,21,2520
819192,1,9,0,130
819791,3,3,3,18
828731,0,0,142,2171
867381,37,349,125,5283
876192,22,27,62,1484
908290,0,1,0,74
914729,7,0,1,333
943095,1,2,0,221
985207,4,10,0,788
991563,22,157,1,2241
1019952,9,29,3,1332
1022699,25,12,0,1530
1022919,5,17,2,641
1030408,10,88,0,1738
1034452,1,0,6,74
1041761,6,2,42,2721
1050684,9,40,1,507
1053725,7,121,1,1672
1067578,7,1,1,296
1074982,0,7,3,191
1081595,1,0,0,299
1091123,23,18,144,2246
1105998,2,0,9,523
1112140,3,0,0,484
1128409,16,37,0,536
1128799,0,0,0,10
1137672,26,43,2,1287
1156843,12,114,0,2208
1160607,60,192,8,4540
1182380,10,6,3,556
1183504,36,122,147,2632
1188241,22,64,1,952
1206079,19,29,0,316
1211225,8,7,2,376
1257131,17,27,23,921
1259845,25,47,1,979
1272577,6,2,1,514
1275653,7,3,13,300
1334962,15,9,4,304
1335738,0,4,1,422
1344672,1,0,0,59
1364464,5,6,0,245
1365073,0,14,0,155
1399592,10,9,13,426
1409005,59,85,2,1126
1419642,0,0,0,3
1421162,4,2,4,154
1439794,5,3,2,246
1485361,16,8,37,862
1486585,7,21,14,679
1498131,2,2,2,92
1525511,0,1,3,340
1532868,9,9,0,242
1533523,0,0,0,54
1533885,9,10,0,373
1534718,0,0,0,26
1535240,1,11,0,257
1553407,1,8,2,189
1588051,0,6,5,219
1588502,4,0,0,41
1593616,5,6,1,447
1604248,0,14,3,1037
1619789,4,22,0,455
1652366,0,1,3,86
1666891,2,1,3,201
1673252,10,21,0,807
1704058,4,23,3,645
1724469,1,2,0,285
1725399,55,29,19,2162
1760140,2,15,0,383
1769128,11,79,3,1561
1799885,8,1,0,1066
1805148,8,32,0,1466
1805740,23,59,3,1429
1806084,17,57,94,1032
1820303,1,1,0,60
1824572,36,61,40,855
1825186,19,29,1,481
1834928,29,46,1,1787
1857066,56,60,37,1756
1866742,7,108,4,1674
1897583,4,0,92,1734
1926899,101,372,26,5812
1944583,7,23,1,914
1963813,10,8,5,609
1985644,9,1,20,822
2003464,24,29,0,1950
2010204,4,0,8,202
2045844,8,4,0,155
2073744,0,0,2,323
2077849,2,3,0,47
2079867,22,86,78,1609
2083985,2,5,4,243
2092395,1,24,0,272
2097413,11,108,19,2471
2099277,2,45,0,426
2103285,16,34,3,1009
2103722,8,73,0,1454
2112922,2,2,31,499
2120923,11,30,0,351
2128246,14,17,12,1583
2131753,24,123,1,1881
2139347,2,2,0,220
2165371,5,19,0,246
2172795,23,30,0,2857
2183798,6,36,0,989
2196875,3,5,14,984
2227874,10,7,64,1903
2242451,1,12,0,183
2242773,11,29,1,1500
2256395,6,10,0,180
2267344,14,114,3,1713
2272401,1,6,1,153
2283337,36,49,50,1281
2302002,39,17,63,962
2319819,17,228,3,3055
2338844,1,1,0,46
2352151,4,0,69,755
2357844,20,30,67,698
2364046,17,95,3,1919
2364863,4,7,0,362
2379445,11,6,2,583
2400099,18,8,10,1140
2489487,8,1,83,1087
2493818,11,29,0,876
2502524,5,79,2,4613
2510646,0,0,0,40
2527320,2,4,12,681
2536588,15,61,2,953
2557196,3,7,1,399
2588780,11,24,2,1481
2590763,1,1,104,413
2622091,9,12,55,2028
2639819,2,1,39,984
2675166,0,58,0,1548
2683726,5,10,102,761
2686606,11,23,78,1844
2695854,25,15,135,980
2696208,1,0,0,113
2720721,21,8,11,5208
2742560,38,49,6,2476
2745737,15,73,0,1063
2751701,2,4,20,1666
2763135,2,0,0,133
2803672,0,2,0,261
2814416,10,10,45,964
2820961,24,34,29,2502
2839379,4,3,7,367
2845412,6,9,5,612
2870275,5,1,2,797
2883429,1,5,0,345
2887948,2,1,0,204
2896763,1,12,0,383
2910556,33,158,0,1162
2913602,36,91,8,1399
2934039,6,4,5,512
2935703,19,19,3,1779
2950136,24,74,83,878
2952532,19,7,83,2034
2967122,8,30,1,792
2989110,27,56,5,906
3016266,11,72,0,1353
3063448,21,97,5,2574
3065306,11,168,333,2701
3066501,1,2,50,327
3089923,2,5,5,626
3141769,8,30,0,640
3141933,6,8,1,683
3162324,8,28,1,526
3166978,45,117,1,972
3190957,9,3,0,720
3191339,0,1,1,156
3192805,6,17,11,299
3207324,0,0,6,108
3227231,29,142,1,1900
3233000,6,1,0,359
3240412,1,9,0,763
3282021,39,303,246,6916
3304327,19,196,6,2249
3318666,40,98,756,7576
3324323,2,3,0,442
3328558,21,122,84,2440
3350428,8,11,25,769
3375066,14,7,0,321
3378138,0,1,3,1192
3380259,11,0,17,588
3384843,8,6,53,781
3395807,0,0,0,303
3421308,0,0,0,5
3423779,10,16,1,121
3442818,47,162,262,5367
3447448,1,4,0,65
3460631,24,21,0,507
3466367,3,20,70,1361
3468674,8,2,0,57
3482403,10,13,4,504
3495324,1,15,0,624
3508821,14,4,6,770
3512329,12,18,145,2973
3519280,34,73,19,1387
3543407,6,19,118,1973
3566914,19,61,0,1588
3567524,0,0,6,281
3569244,3,16,1,1411
3569918,3,6,0,148
3577313,6,5,20,388
3578206,12,4,97,5871
3607854,43,118,85,2124
3631290,4,6,11,376
3632278,15,9,4,1141
3662776,44,4,23,1348
3671315,76,340,21,3384
3671520,23,105,3,1310
3694961,115,197,5,9405
3695398,13,0,123,1863
3709994,6,5,86,1291
3712578,17,61,1,1471
3714513,6,4,29,1023
3731463,15,59,1,3978
3763394,9,12,0,246
3789630,5,12,0,421
3791755,1,0,0,341
3792677,15,47,0,764
3796254,5,5,0,222
3808025,0,0,0,109
3830694,30,108,12,987
3840121,46,285,6,2979
3849356,0,0,0,58
3864501,4,2,23,153
3878869,6,6,7,841
3880359,3,6,1,153
3914310,4,0,6,375
3919761,4,11,1,304
3927253,2,41,2,607
3945782,1,0,15,891
3965819,2,2,0,143
3987745,8,0,2,506
4053567,10,3,34,2825
4060646,6,37,1,925
4076820,18,19,0,566
4077888,20,11,26,928
4082863,6,15,41,1745
4088842,15,17,3,627
4095217,4,7,275,884
4102557,17,194,2,2517
4102766,0,0,0,65
4110055,7,36,0,687
4110672,2,25,0,3275
4120403,149,204,71,3299
4120881,0,0,0,39
4137745,30,90,44,3560
4140926,10,25,34,900
4146900,29,252,0,3715
4164164,4,5,18,394
4164359,3,90,1,1458
4174826,1,14,184,582
4186010,18,69,8,871
4195964,36,89,6,1691
4225412,51,191,3,4627
4231989,9,35,1,1115
4232880,0,1,12,607
4261260,2,31,162,1332
4271718,17,23,129,1460
4283186,1,30,3,298
4286657,7,110,7,1070
4338344,6,1,39,1643
4346474,0,0,0,60
4361577,103,345,20,5382
4364079,69,91,279,6802
4374427,5,56,2,660
4381858,12,17,6,936
4387844,15,35,7,709
4445837,11,31,1,471
4496414,8,9,3,465
4499782,0,0,0,30
4524349,22,111,2,1262
4561993,4,34,109,1859
4567220,3,1,0,324
4573013,15,11,3,1193
4579794,22,58,20,2214
4597166,6,14,1,220
4642457,11,40,4,768
4644312,2,1,1,93
4688795,3,0,0,82
4710740,7,19,1,326
4716732,5,1,30,443
4725269,13,108,0,4459
4729352,3,1,8,404
4741469,0,0,0,76
4742459,1,74,121,1050
4744483,0,18,1,1028
4752206,11,5,7,922
4755159,4,11,0,209
4763932,1,6,0,309
4772544,1,20,0,204
4780516,0,1,0,163
4790160,12,28,0,291
4839432,1,0,62,1329
4839533,12,16,1,920
4839961,1,1,16,1034
4869558,2,2,0,581
4903043,37,112,35,2885
4917287,3,8,0,166
4919496,1,0,0,108
4921070,3,6,0,160
4922072,2,2,2,363
4960300,2,30,1,1153
4977592,0,41,2,1822
4979200,8,3,28,1061
5020210,43,70,15,1297
5028667,8,24,1,855
5051617,1,3,37,793
5057199,2,0,1,1159
5066694,31,81,1,1339
5091068,8,4,1,756
5125563,0,3,1,45
5137598,2,1,0,1350
5141057,3,3,0,252
5154444,11,1,40,1174
5159022,1,18,0,1390
5179507,5,19,0,185
5187945,1,0,1,12
5189513,11,27,1,1699
5196815,9,5,1,354
5201714,21,50,8,2414
5223307,5,7,21,891
5236221,9,66,0,931
5240052,0,1,0,36
5250412,3,12,92,1432
5255076,0,0,18,77
5287432,3,1,0,129
5307517,3,8,0,572
5315279,34,1810,168,10375
5358079,11,80,135,1711
5392788,0,1,0,66
5396057,11,83,28,2036
5412158,13,12,1,175
5424550,101,176,229,3673
5440164,2,0,4,216
5451259,4,0,1,143
5460550,15,80,1,1544
5466222,5,21,0,845
5467215,21,20,2,890
5478302,9,78,1,4652
5481789,2,38,1,626
5483686,3,0,5,33
5485673,9,25,1,872
5586064,23,34,52,1006
5616094,3,7,0,409
5624123,7,47,0,485
5626464,6,3,35,558
5680285,2,3,13,336
5686843,22,7,3,1690
5694160,18,91,217,4178
5698511,7,12,92,2971
5699616,2,0,0,54
5710300,11,14,1,392
5719706,1,0,0,2
5740730,7,26,1,753
5778458,1,0,81,1839
5786548,2,0,3,431
5786807,11,20,25,1120
5798831,3,22,0,312
5803579,1,2,0,70
5837961,13,20,233,3675
5838287,5,65,0,463
5860001,12,24,126,3425
5865371,17,15,13,621
5875750,5,41,0,1619
5938241,35,204,15,4170
5942869,9,29,15,1382
5950556,24,55,0,2998
6014239,0,16,1,522
6015031,3,43,3,1936
6018416,11,5,71,1543
6038861,0,0,1,507
6049053,9,37,84,2173
6062947,4,3,1,370
6064746,5,7,26,940
6068352,2,0,0,360
6071666,4,68,0,641
6079735,23,33,1,609
6101177,33,25,31,6008
6142132,2,0,0,36
6146353,8,3,0,978
6163885,1,12,0,585
6177572,1,45,1,1595
6212208,6,3,1,1716
6222588,47,57,2,2019
6228124,17,23,1,473
6230291,10,30,0,1077
6235300,8,2,0,319
6236717,2,12,0,381
6243406,2,3,2,281
6247427,0,0,110,688
6274948,7,0,0,380
6287853,0,7,0,37
6303684,14,24,0,834
6317562,14,49,0,1224
6336158,6,12,0,213
6336487,38,70,2,1615
6345483,5,22,127,8829
6346697,3,0,1,543
6347508,11,31,8,487
6371563,0,16,10,646
6375695,8,15,1,793
