user_id,total_interaction_count
4913,1742
6118,117
7528,214
7591,859
12645,268
45368,36
54056,38
63348,251
79824,663
88930,1604
90472,148
100539,1082
104155,396
109103,432
113251,379
113960,2009
114088,25
120873,1596
134658,258
151617,1969
156608,564
157097,1502
189833,3720
190327,696
191366,1190
213655,2762
217996,72
227293,961
230711,357
239485,262
247543,957
250843,2199
263670,604
287170,61
305685,134
337191,302
355287,987
365699,605
397142,1063
413178,1024
414388,452
418175,1185
429994,662
432337,897
450683,290
475826,7004
483640,509
493013,206
497764,4014
501286,1046
511319,443
521437,517
565533,1071
567790,51
568881,418
595598,1712
608951,1927
611920,1642
632347,2474
678552,14
704891,1186
722361,8
742065,380
754205,1060
764564,578
783072,47
790713,1369
801018,1186
807106,1426
814199,2621
819192,140
819791,27
828731,2313
867381,5794
876192,1595
908290,75
914729,341
943095,224
985207,802
991563,2421
1019952,1373
1022699,1567
1022919,665
1030408,1836
1034452,81
1041761,2771
1050684,557
1053725,1801
1067578,305
1074982,201
1081595,300
1091123,2431
1105998,534
1112140,487
1128409,589
1128799,10
1137672,1358
1156843,2334
1160607,4800
1182380,575
1183504,2937
1188241,1039
1206079,364
1211225,393
1257131,988
1259845,1052
1272577,523
1275653,323
1334962,332
1335738,427
1344672,60
1364464,256
1365073,169
1399592,458
1409005,1272
1419642,3
1421162,164
1439794,256
1485361,923
1486585,721
1498131,98
1525511,344
1532868,260
1533523,54
1533885,392
1534718,26
1535240,269
1553407,200
1588051,230
1588502,45
1593616,459
1604248,1054
1619789,481
1652366,90
1666891,207
1673252,838
1704058,675
1724469,288
1725399,2265
1760140,400
1769128,1654
1799885,1075
1805148,1506
1805740,1514
1806084,1200
1820303,62
1824572,992
1825186,530
1834928,1863
1857066,1909
1866742,1793
1897583,1830
1926899,6311
1944583,945
1963813,632
1985644,852
2003464,2003
2010204,214
2045844,167
2073744,325
2077849,52
2079867,1795
2083985,254
2092395,297
2097413,2609
2099277,473
2103285,1062
2103722,1535
2112922,534
2120923,392
2128246,1626
2131753,2029
2139347,224
2165371,270
2172795,2910
2183798,1031
2196875,1006
2227874,1984
2242451,196
2242773,1541
2256395,196
2267344,1844
2272401,161
2283337,1416
2302002,1081
2319819,3303
2338844,48
2352151,828
2357844,815
2364046,2034
2364863,373
2379445,602
2400099,1176
2489487,1179
2493818,916
2502524,4699
2510646,40
2527320,699
2536588,1031
2557196,410
2588780,1518
2590763,519
2622091,2104
2639819,1026
2675166,1606
2683726,878
2686606,1956
2695854,1155
2696208,114
2720721,5248
2742560,2569
2745737,1151
2751701,1692
2763135,135
2803672,263
2814416,1029
2820961,2589
2839379,381
2845412,632
2870275,805
2883429,351
2887948,207
2896763,396
2910556,1353
2913602,1534
2934039,527
2935703,1820
2950136,1059
2952532,2143
2967122,831
2989110,994
3016266,1436
3063448,2697
3065306,3213
3066501,380
3089923,638
3141769,678
3141933,698
3162324,563
3166978,1135
3190957,732
3191339,158
3192805,333
3207324,114
3227231,2072
3233000,366
3240412,773
3282021,7504
3304327,2470
3318666,8470
3324323,447
3328558,2667
3350428,813
3375066,342
3378138,1196
3380259,616
3384843,848
3395807,303
3421308,5
3423779,148
3442818,5838
3447448,70
3460631,552
3466367,1454
3468674,67
3482403,531
3495324,640
3508821,794
3512329,3148
3519280,1513
3543407,2116
3566914,1668
3567524,287
3569244,1431
3569918,157
3577313,419
3578206,5984
3607854,2370
3631290,397
3632278,1169
3662776,1419
3671315,3821
3671520,1441
3694961,9722
3695398,1999
3709994,1388
3712578,1550
3714513,1062
3731463,4053
3763394,267
3789630,438
3791755,342
3792677,826
3796254,232
3808025,109
3830694,1137
3840121,3316
3849356,58
3864501,182
3878869,860
3880359,163
3914310,385
3919761,320
3927253,652
3945782,907
3965819,147
3987745,516
4053567,2872
4060646,969
4076820,603
4077888,985
4082863,1807
4088842,662
4095217,1170
4102557,2730
4102766,65
4110055,730
4110672,3302
4120403,3723
4120881,39
4137745,3724
4140926,969
4146900,3996
4164164,421
4164359,1552
4174826,781
4186010,966
4195964,1822
4225412,4872
4231989,1160
4232880,620
4261260,1527
4271718,1629
4283186,332
4286657,1194
4338344,1689
4346474,60
4361577,5850
4364079,7241
4374427,723
4381858,971
4387844,766
4445837,514
4496414,485
4499782,30
4524349,1397
4561993,2006
4567220,328
4573013,1222
4579794,2314
4597166,241
4642457,823
4644312,97
4688795,85
4710740,353
4716732,479
4725269,4580
4729352,416
4741469,76
4742459,1246
4744483,1047
4752206,945
4755159,224
4763932,316
4772544,225
4780516,164
4790160,331
4839432,1392
4839533,949
4839961,1052
4869558,585
4903043,3069
4917287,177
4919496,109
4921070,169
4922072,369
4960300,1186
4977592,1865
4979200,1100
5020210,1425
5028667,888
5051617,834
5057199,1162
5066694,1452
5091068,769
5125563,49
5137598,1353
5141057,258
5154444,1226
5159022,1409
5179507,209
5187945,14
5189513,1738
5196815,369
5201714,2493
5223307,924
5236221,1006
5240052,37
5250412,1539
5255076,95
5287432,133
5307517,583
5315279,12387
5358079,1937
5392788,67
5396057,2158
5412158,201
5424550,4179
5440164,222
5451259,148
5460550,1640
5466222,871
5467215,933
5478302,4740
5481789,667
5483686,41
5485673,907
5586064,1115
5616094,419
5624123,539
5626464,602
5680285,354
5686843,1722
5694160,4504
5698511,3082
5699616,56
5710300,418
5719706,3
5740730,787
5778458,1921
5786548,436
5786807,1176
5798831,337
5803579,73
5837961,3941
5838287,533
5860001,3587
5865371,666
5875750,1665
5938241,4424
5942869,1435
5950556,3077
6014239,539
6015031,1985
6018416,1630
6038861,508
6049053,2303
6062947,378
6064746,978
6068352,362
6071666,713
6079735,666
6101177,6097
6142132,38
6146353,989
6163885,598
6177572,1642
6212208,1726
6222588,2125
6228124,514
6230291,1117
6235300,329
6236717,395
6243406,288
6247427,798
6274948,387
6287853,44
6303684,872
6317562,1287
6336158,231
6336487,1725
6345483,8983
6346697,547
6347508,537
6371563,672
6375695,817
6392284,27
6419226,198
6435793,2550
6437749,1577
6438366,79
6442389,624
6443596,2640
6452476,2362
6478780,1786
6500341,500
6504113,1897
6516360,839
6516985,365
6556740,1168
6566040,151
6582864,720
6596569,537
6598755,183
6640205,520
6643814,404
6685234,1319
6722083,984
6723204,227
6734365,262
6769671,100
6776778,795
6799716,316
6812814,279
6814789,3218
6847334,546
6861624,1673
6884739,624
6926678,2220
6931133,252
6957110,13
6966107,351
6997005,1501
7011544,1014
7012275,94
7018172,113
7030262,1190
7033860,278
7053874,451
7055673,1784
7072231,1088
7089989,57
7094594,1631
7121453,596
7129140,369
7138866,1632
7144740,2666
7175674,1062
7196391,1165
7197108,1821
7202772,1408
7207480,1432
7223825,524
7226947,1639
7234861,17574
7248646,1097
7254306,908
7267531,924
7277182,865
7288446,258
7295557,3041
7341876,1356
7363107,313
7365270,299
7366396,1400
7391440,783
7397337,3455
7409910,10
7427667,200
7434912,593
7436994,1200
7446574,822
7470488,884
7507359,183
7538685,310
7554598,361
7560153,602
7572838,176
7585996,4078
7604354,234
7606334,292
7610653,610
7612152,2463
7623264,418
7630304,3027
7646195,464
7647261,298
7679270,871
7713477,880
7723951,624
7733967,206
7761295,2380
7766678,1199
7774023,2966
7780072,605
7788241,1076
7799018,1408
7829997,471
7843229,982
7853740,1823
7874812,332
7881635,1770
7892881,1945
7915670,639
7956207,1602
7959667,432
7970200,141
8009008,1016
8034995,383
8045744,2467
8052951,1068
8085465,139
8119848,1208
8197937,3204
8205078,3598
8213864,2980
8217647,2231
8231529,1288
8240912,1695
8249269,3718
8311653,398
8319301,72
8325510,6849
8337357,804
8350359,2853
8354126,5208
8359310,1043
8362294,205
8370322,1332
8376762,20
8382449,2661
8388321,320
8397935,963
8400761,16
8406569,853
8413012,135
8427578,169
8439431,898
8440456,4426
8443684,3413
8445368,463
8446375,118
8452470,474
8455780,619
8499333,1463
8499885,949
8509077,38
8544418,264
8581353,904
8596951,5414
8679255,1941
8686191,1936
8688021,482
8692489,212
8695857,2128
8702919,3515
8747297,97
8750098,345
8764314,594
8784082,326
8785103,62
8801409,2254
8820897,1075
8823134,223
8832025,631
8847877,2089
8856141,403
8863153,155
8886191,6534
8909639,339
8913893,1719
8915107,2734
8917150,3535
8971089,170
8973625,769
8977686,756
9032548,525
9056309,896
9065398,217
9087115,346
9090200,1209
9092898,966
9138659,1854
9144935,497
