date,behavior_count
2025-11-18,3730
2025-11-19,3686
2025-11-20,3462
2025-11-21,3021
2025-11-22,3570
2025-11-23,3347
2025-11-24,3426
2025-11-25,3464
2025-11-26,3573
2025-11-27,3670
2025-11-28,3218
2025-11-29,3211
2025-11-30,3616
2025-12-01,3909
2025-12-02,3621
2025-12-03,3885
2025-12-04,3691
2025-12-05,3319
2025-12-06,3272
2025-12-07,3256
2025-12-08,3419
2025-12-09,3449
2025-12-10,3216
2025-12-11,3226
2025-12-12,15251
2025-12-13,3478
2025-12-14,3483
2025-12-15,3764
2025-12-16,3771
2025-12-17,3615
2025-12-18,3586
