finding_type,name,value
top_daily_behavior,2025-12-12,691712
top_daily_behavior,2025-12-11,488508
top_daily_behavior,2025-12-10,421910
top_hourly_behavior,21,1090178
top_hourly_behavior,22,1088961
top_hourly_behavior,20,935161
top_hourly_buy,22,8845
top_hourly_buy,21,8829
top_hourly_buy,20,7872
top_category_interaction,1863,393247
top_category_interaction,13230,356773
top_category_interaction,5027,334280
top_category_interaction,5894,330207
top_category_interaction,6513,295768
top_category_buy,6344,2208
top_category_buy,1863,2000
top_category_buy,5232,1611
top_category_buy,6977,1324
top_category_buy,8877,1072
