item_category,category_buy_count,category_cart_count,category_fav_count,category_pv_count,category_user_count,category_item_count,category_total_interaction_count,category_fav_rate,category_cart_rate,category_buy_rate
2,0,0,0,3,1,1,3,0.0,0.0,0.0
3,0,0,0,3,1,2,3,0.0,0.0,0.0
4,0,0,0,1,1,1,1,0.0,0.0,0.0
6,0,0,0,10,8,8,10,0.0,0.0,0.0
8,4,4,9,976,51,335,993,0.009221311475409836,0.004098360655737705,0.004098360655737705
10,4,9,3,212,60,90,228,0.014150943396226415,0.04245283018867924,0.018867924528301886
11,5,78,94,8818,827,1872,8995,0.01066001360852801,0.008845543207076435,0.0005670220004536176
12,5,14,8,194,27,83,221,0.041237113402061855,0.07216494845360824,0.02577319587628866
13,6,2,6,99,20,27,113,0.06060606060606061,0.020202020202020204,0.06060606060606061
15,4,4,37,682,58,303,727,0.054252199413489736,0.005865102639296188,0.005865102639296188
16,18,51,11,508,76,156,588,0.021653543307086614,0.10039370078740158,0.03543307086614173
18,1,2,0,32,6,11,35,0.0,0.0625,0.03125
19,0,0,0,25,15,15,25,0.0,0.0,0.0
21,2,8,3,146,22,69,159,0.02054794520547945,0.0547945205479452,0.0136986301369863
23,0,0,0,2,1,1,2,0.0,0.0,0.0
24,8,16,12,1589,290,259,1625,0.007551919446192574,0.010069225928256766,0.005034612964128383
25,0,0,0,31,11,21,31,0.0,0.0,0.0
26,0,0,0,3,1,1,3,0.0,0.0,0.0
28,5,9,10,68,16,27,92,0.14705882352941177,0.1323529411764706,0.07352941176470588
29,0,0,0,7,2,2,7,0.0,0.0,0.0
30,0,0,2,24,7,7,26,0.08333333333333333,0.0,0.0
32,1,0,0,21,7,9,22,0.0,0.0,0.047619047619047616
33,0,0,0,4,1,1,4,0.0,0.0,0.0
34,1,10,4,129,24,53,144,0.031007751937984496,0.07751937984496124,0.007751937984496124
35,5,2,0,174,40,77,181,0.0,0.011494252873563218,0.028735632183908046
40,0,0,0,2,1,1,2,0.0,0.0,0.0
43,13,22,11,1102,79,382,1148,0.009981851179673321,0.019963702359346643,0.011796733212341199
46,2,2,4,116,24,46,124,0.034482758620689655,0.017241379310344827,0.017241379310344827
47,10,48,31,925,101,246,1014,0.03351351351351351,0.05189189189189189,0.010810810810810811
53,0,1,1,14,3,6,16,0.07142857142857142,0.07142857142857142,0.0
54,0,0,0,2,1,1,2,0.0,0.0,0.0
56,20,27,51,2372,291,408,2470,0.021500843170320406,0.011382799325463743,0.008431703204047217
57,0,2,2,146,23,55,150,0.0136986301369863,0.0136986301369863,0.0
58,1,4,8,339,50,113,352,0.02359882005899705,0.011799410029498525,0.0029498525073746312
59,1,1,0,18,10,10,20,0.0,0.05555555555555555,0.05555555555555555
65,0,0,2,37,13,13,39,0.05405405405405406,0.0,0.0
66,4,6,5,210,35,63,225,0.023809523809523808,0.02857142857142857,0.01904761904761905
67,4,60,23,1134,105,327,1221,0.020282186948853614,0.05291005291005291,0.003527336860670194
68,1,2,0,16,5,9,19,0.0,0.125,0.0625
69,0,0,0,6,3,3,6,0.0,0.0,0.0
72,2,3,0,47,7,18,52,0.0,0.06382978723404255,0.0425531914893617
73,1,0,0,36,10,16,37,0.0,0.0,0.027777777777777776
75,0,4,0,16,6,6,20,0.0,0.25,0.0
77,2,22,7,513,90,152,544,0.01364522417153996,0.042884990253411304,0.003898635477582846
78,0,2,0,30,6,11,32,0.0,0.06666666666666667,0.0
80,3,3,1,106,29,30,113,0.009433962264150943,0.02830188679245283,0.02830188679245283
81,0,0,2,39,17,16,41,0.05128205128205128,0.0,0.0
82,0,0,2,78,18,33,80,0.02564102564102564,0.0,0.0
83,1,3,0,52,15,18,56,0.0,0.057692307692307696,0.019230769230769232
